id,term,englishDefinition,words,grade,hardWords,flagged
140,Straight,Not curved or bent; going in one direction without turning.,10,4.8,,
141,Wavy,Having a series of curves; not straight or curly.,9,3.7,,
142,Curly,"Having tight, round loops or spirals; not straight or wavy.",10,3.7,,
143,Bald,Having little or no hair on the head.,8,2.3,,
144,Brown,The color of earth or wood.,6,0.5,,
145,Red,The color of blood or tomatoes.,6,4.5,,
146,Black,The darkest color; the color of coal or night.,9,3.7,,
147,Blond,"A pale yellow or golden color, especially of hair.",9,8.9,,yes
148,Gray,A color between black and white; the color of ashes.,10,3.7,,
149,Tall,Of great or more than average height.,7,2.3,,
150,Young,Having lived or existed for only a short time; not old.,11,3.7,,
151,Old,Having lived or existed for a long time; not young.,10,2.5,,
152,Thin,"Having little, or too little, flesh or fat on the body.",11,4.8,,
153,Heavy,Weighing a lot; used to describe a person with a large body.,12,4.8,,
154,Fire Department,The city service that sends firefighters to fight fires and emergencies.,11,9.1,,yes
155,Public Transportation,"buses and trains people use to travel between home, work, and school",12,3.8,,
156,Suit,matching formal clothing people wear to work or events,9,6.3,,yes
157,Car,A vehicle with four wheels that people drive on roads.,10,3.7,,
158,Receipt,a store paper that shows what you bought,8,0.8,,
159,Signature,"Your name written by hand, used to approve a document or form.",12,4.8,,
160,Return,To bring a purchased item back to the store for a refund.,12,3.8,,
161,Exchange,To give back one item to a store and get a different one.,13,4,,yes
162,Manager,"The person in charge of a store, office, or workplace.",10,3.7,,
163,Complaint,A statement that something is wrong or unsatisfactory.,8,12.6,,yes
164,Rent,money you pay every month to live in a home,10,3.7,,
165,Fee,"Money charged for a service, such as a late payment or pet fee.",13,4,,yes
166,Security deposit,money you pay before moving into a home,8,5.2,,
167,Laundry,clothes in the home that you need to wash,9,-0.3,,
168,Down payment,a large payment you make first when buying a home or car,12,1.9,,
169,Gas,natural gas used for heating or cooking in a home,10,4.8,,yes
170,Water,the home utility that supplies running water; you pay a monthly bill,12,7.8,,yes
171,Floor,the part of a room that you walk on,9,-0.3,,
172,Chimney,the part of a house that carries smoke outside,9,2.3,,
173,Door,the house part you open to go in or out,10,1.3,,
174,Stairs,house steps that go up or down,7,-1.1,,
175,Window,a house opening with glass in the wall,8,2.3,,
176,End table,a small home table next to a sofa or chair,10,2.5,,
177,Coffee table,a low home table in front of a sofa,9,2.3,,
178,Plant,a living thing with roots and leaves grown indoors for decoration,11,5.9,,
179,Lamp,a small electric light that sits on a table or floor,11,3.7,,
180,Painting,"a picture made with paint, hung on a wall",9,1,,
181,Bathtub,a large container in the bathroom where you sit and wash your body,13,4.9,,yes
182,Bed,the bedroom furniture where you sleep,6,4.5,,yes
183,Bedtable,"a small table beside a bed, used for a lamp or alarm clock",13,4,,yes
184,Car,a four-wheeled motor vehicle used to travel on roads,9,6.3,,yes
185,Chair,"a seat with a back, for one person to sit on",11,1.6,,
186,Refrigerator,a kitchen machine that keeps food cold,7,2.3,,
187,Microwave,a kitchen machine that heats food quickly,7,4,,
188,Oven,the kitchen part of a stove where you bake food,10,1.3,,
189,Sofa,a soft living room seat for several people,8,5.2,,
190,Armchair,a living room chair with arms for one person,9,2.3,,
191,TV,"an electronic screen used to watch shows, news, and movies",10,4.8,,
192,Washer,a laundry machine that washes clothes,6,2.5,,
193,Dryer,a laundry machine that dries clothes,6,2.5,,
194,Receptionist,a worker who welcomes people and answers phones,8,5.2,,
195,Manager,a worker who is in charge of other workers,9,3.7,,
196,Server,a restaurant worker who brings food to customers,8,6.7,,yes
197,Dishwasher,"a kitchen worker or machine that washes plates, cups, and utensils",11,5.9,,
198,Doctor,a medical worker who treats sick people,7,5.7,,
199,Dentist,"a medical professional who examines, cleans, and repairs teeth",9,10.2,,yes
200,Salesperson,a store worker who sells things,6,0.5,,
201,Job,work you do to earn money,6,0.5,,
202,Schedule,"a plan listing when events, tasks, or shifts happen",9,3.7,,
203,Back,the body part behind your chest and stomach,8,3.8,,
204,Toes,the small body parts on your feet,7,0.6,,
205,Eyes,the body parts you use to see,7,0.6,,
206,Mouth,the body opening you use to eat and speak,9,3.7,,
207,Teeth,the hard white parts in your mouth,7,-1.1,,
208,Throat,the tube inside your neck that carries food and air,10,2.5,,
209,Dry cough,a cough with no phlegm or liquid; your throat feels scratchy,11,2.6,,
210,Appointment,a time to meet the doctor or another person,9,5,,
211,Insurance,"a plan you pay into that covers medical, car, or other costs",12,5.8,,
212,Weight,how heavy your body is,5,2.9,,
213,Walnuts,"wrinkled brown nuts with a hard shell, eaten as a snack or in baking",14,3.4,,yes
214,Peanuts,small tan nuts that grow underground; used in peanut butter,10,4.8,,yes
215,Almonds,long light-brown nuts people eat,5,2.9,,
216,Tuna,"a large ocean fish, often sold canned and used in sandwiches or salads",13,4.9,,yes
217,Tomatoes,"round red fruit with soft flesh, used raw in salads or cooked in sauces",14,2.5,,yes
218,Carrots,long orange vegetables,3,13.1,,yes
219,Avocados,soft green fruit often used in salads or guacamole,9,6.3,,yes
220,Broccoli,a dark green vegetable with a thick stalk and tightly packed flower tops,13,5.8,,yes
221,Cucumber,a long green vegetable with a lot of water,9,5,,
222,Corn,a yellow vegetable with many kernels,6,10.4,,yes
223,Celery,a long green vegetable with crisp sticks,7,4,,
224,Lettuce,a leafy green vegetable used in salads,7,7.4,,yes
225,Spinach,small dark green leaves eaten raw in salads or cooked as a side dish,14,3.4,,yes
226,Salad,"a cold dish of raw vegetables, often with dressing",9,6.3,,yes
227,Ketchup,"a thick red sauce made from tomatoes, used on burgers and fries",12,3.8,,
228,Apples,"round fruits with red, green, or yellow skin",8,0.8,,
229,Oranges,round orange fruits full of juice,6,0.5,,yes
230,Bananas,long yellow fruits with soft fruit inside,7,2.3,,
231,Pears,sweet fruits with a narrow top and round bottom,9,2.3,,
232,Watermelon,a large green fruit with red fruit inside,8,0.8,,
233,Melon,a large round fruit with sweet soft flesh and a hard green or orange skin,15,2.8,,yes
234,Strawberry,a small red fruit with seeds on the outside,9,1,,
235,Pineapple,a large tropical fruit with spiky brown skin and sweet yellow flesh inside,13,5.8,,yes
236,Blueberry,a small round blue fruit,5,-1.8,,
237,French Fries,fried potato pieces people eat hot,6,4.5,,
238,Hamburger,a sandwich with meat inside a bun,7,2.3,,
239,Pasta,"an Italian food made from flour and water, shaped into noodles or tubes",13,5.8,,yes
240,Sandwich,"food with meat, cheese, or other food between bread",9,2.3,,
241,Crackers,"thin, flat, crispy baked snacks made from flour",8,0.8,,
242,Bottled water,water sold in a bottle,5,2.9,,
243,Juice,a drink made from fruit,5,-1.8,,
244,Soda,a sweet cold drink with bubbles,6,0.5,,
245,Can,a metal container for food or drink,7,4,,
246,Jar,a glass food container with a lid,7,2.3,,
247,Bag,a soft container for food or other things,8,3.8,,
248,Box,a stiff rectangular container made from cardboard or wood,9,7.6,,yes
249,Package,"a sealed bag, box, or wrapper containing a product for sale",11,5.9,,
