"Sentence","PatternGroup","Rule","Verb","BaseVerbForm","ThirdPersonSingular","Word to Blank","Other Option","Category","Difficulty","Tense","Topic"
"I don't mind helping my neighbors.","gerund_after_verb","Gerund after verb","mind","help","helps","helping","to help","gerunds_intro","round2","present","home"
"She decided to apply for the job online.","infinitive_after_verb","Infinitive after verb","decide","apply","applies","to apply","applying","infinitives_intro","round1","present","work"
"They plan to visit their aunt this weekend.","infinitive_after_verb","Infinitive after verb","plan","visit","visits","to visit","visiting","infinitives_intro","round1","future","relationships"
"I hope to finish the report tonight.","infinitive_after_verb","Infinitive after verb","hope","finish","finishes","to finish","finishing","infinitives_intro","round1","present","work"
"He needs to call the doctor's office.","infinitive_after_verb","Infinitive after verb","need","call","calls","to call","calling","infinitives_intro","round1","present","health"
"We agreed to meet outside the station.","infinitive_after_verb","Infinitive after verb","agree","meet","meets","to meet","meeting","infinitives_intro","round1","present","transportation"
"She wants to learn how to drive.","infinitive_after_verb","Infinitive after verb","want","learn","learns","to learn","learning","infinitives_intro","round1","present","transportation"
"They chose to stay home during the storm.","infinitive_after_verb","Infinitive after verb","choose","stay","stays","to stay","staying","infinitives_intro","round1","present","home"
"I promised to text my sister later.","infinitive_after_verb","Infinitive after verb","promise","text","texts","to text","texting","infinitives_intro","round2","present","relationships"
"He refused to sign the paper without reading it.","infinitive_after_verb","Infinitive after verb","refuse","sign","signs","to sign","signing","infinitives_intro","round2","present","work"
"We learned to use the new printer at work.","infinitive_after_verb","Infinitive after verb","learn","use","uses","to use","using","infinitives_intro","round2","present","work"
"She offered to help us carry the boxes.","infinitive_after_verb","Infinitive after verb","offer","help","helps","to help","helping","infinitives_intro","round2","present","home"
"They hope to move into a bigger apartment soon.","infinitive_after_verb","Infinitive after verb","hope","move","moves","to move","moving","infinitives_intro","round2","present","home"
"I decided to wake up earlier this month.","infinitive_after_verb","Infinitive after verb","decide","wake","wakes","to wake","waking","infinitives_intro","round2","present","health"
"He expects to hear from the manager tomorrow.","infinitive_after_verb","Infinitive after verb","expect","hear","hears","to hear","hearing","infinitives_intro","round2","future","work"
"We attempted to solve the problem together.","infinitive_after_verb","Infinitive after verb","attempt","solve","solves","to solve","solving","infinitives_intro","round2","present","work"
"She hopes to save more money this year.","infinitive_after_verb","Infinitive after verb","hope","save","saves","to save","saving","infinitives_intro","round2","present","money"
"They managed to catch the last bus.","infinitive_after_verb","Infinitive after verb","manage","catch","catches","to catch","catching","infinitives_intro","round2","present","transportation"
"I forgot to bring my notebook to class.","infinitive_after_verb","Infinitive after verb","forget","bring","brings","to bring","bringing","infinitives_intro","round2","present","school"
"He prepared to give his presentation.","infinitive_after_verb","Infinitive after verb","prepare","give","gives","to give","giving","infinitives_intro","round2","present","work"
"We plan to leave before traffic gets worse.","infinitive_after_verb","Infinitive after verb","plan","leave","leaves","to leave","leaving","infinitives_intro","round2","present","transportation"
"Walking every day improves your mood.","gerund_subject","Gerund as subject","walk","walk","walks","Walking","To walk","gerund_subject","round1","present","health"
"Cooking at home saves money.","gerund_subject","Gerund as subject","cook","cook","cooks","Cooking","To cook","gerund_subject","round1","present","home"
"Learning English takes patience.","gerund_subject","Gerund as subject","learn","learn","learns","Learning","To learn","gerund_subject","round1","present","school"
"Getting enough sleep helps people focus.","gerund_subject","Gerund as subject","get","get","gets","Getting","To get","gerund_subject","round1","present","health"
"Reading before bed helps me relax.","gerund_subject","Gerund as subject","read","read","reads","Reading","To read","gerund_subject","round1","present","health"
"Driving in heavy traffic can be stressful.","gerund_subject","Gerund as subject","drive","drive","drives","Driving","To drive","gerund_subject","round1","present","transportation"
"Working two jobs is exhausting.","gerund_subject","Gerund as subject","work","work","works","Working","To work","gerund_subject","round1","present","work"
"Saving a little money each week builds confidence.","gerund_subject","Gerund as subject","save","save","saves","Saving","To save","gerund_subject","round2","present","money"
"Stretching in the morning helps my back.","gerund_subject","Gerund as subject","stretch","stretch","stretches","Stretching","To stretch","gerund_subject","round2","present","health"
"Taking notes during class helps students remember more.","gerund_subject","Gerund as subject","take","take","takes","Taking","To take","gerund_subject","round2","present","school"
"Practicing every week makes a big difference.","gerund_subject","Gerund as subject","practice","practice","practices","Practicing","To practice","gerund_subject","round2","present","daily_life"
"Waiting too long can create more stress.","gerund_subject","Gerund as subject","wait","wait","waits","Waiting","To wait","gerund_subject","round2","present","health"
"Recycling bottles and cans helps the environment.","gerund_subject","Gerund as subject","recycle","recycle","recycles","Recycling","To recycle","gerund_subject","round2","present","home"
"Talking with a friend can calm you down.","gerund_subject","Gerund as subject","talk","talk","talks","Talking","To talk","gerund_subject","round2","present","relationships"
"Using a calendar helps me stay organized.","gerund_subject","Gerund as subject","use","use","uses","Using","To use","gerund_subject","round2","present","daily_life"
"She went to the store to buy milk.","infinitive_purpose","Infinitive for purpose","go","buy","buys","to buy","buying","infinitive_purpose","round1","past","home"
"He stayed late to finish the report.","infinitive_purpose","Infinitive for purpose","stay","finish","finishes","to finish","finishing","infinitive_purpose","round1","past","work"
"They met early to prepare for class.","infinitive_purpose","Infinitive for purpose","meet","prepare","prepares","to prepare","preparing","infinitive_purpose","round1","past","school"
"I called my landlord to ask about the lease.","infinitive_purpose","Infinitive for purpose","call","ask","asks","to ask","asking","infinitive_purpose","round1","past","home"
"We took a taxi to get there on time.","infinitive_purpose","Infinitive for purpose","take","get","gets","to get","getting","infinitive_purpose","round1","past","transportation"
"She opened the window to let in fresh air.","infinitive_purpose","Infinitive for purpose","open","let","lets","to let","letting","infinitive_purpose","round1","past","home"
"He uses a notebook to remember important tasks.","infinitive_purpose","Infinitive for purpose","use","remember","remembers","to remember","remembering","infinitive_purpose","round1","present","work"
"They saved money to take a trip next summer.","infinitive_purpose","Infinitive for purpose","save","take","takes","to take","taking","infinitive_purpose","round2","future","money"
"I woke up early to catch the first bus.","infinitive_purpose","Infinitive for purpose","wake","catch","catches","to catch","catching","infinitive_purpose","round2","past","transportation"
"We sat down to review the homework together.","infinitive_purpose","Infinitive for purpose","sit","review","reviews","to review","reviewing","infinitive_purpose","round2","past","school"
"She turned on the light to read the instructions.","infinitive_purpose","Infinitive for purpose","turn","read","reads","to read","reading","infinitive_purpose","round2","past","home"
"He went online to check his bank account.","infinitive_purpose","Infinitive for purpose","go","check","checks","to check","checking","infinitive_purpose","round2","past","money"
"They stopped by the office to drop off the forms.","infinitive_purpose","Infinitive for purpose","stop","drop","drops","to drop","dropping","infinitive_purpose","round2","past","work"
"I brought snacks to share with the class.","infinitive_purpose","Infinitive for purpose","bring","share","shares","to share","sharing","infinitive_purpose","round2","past","school"
"She joined the workshop to improve her writing.","infinitive_purpose","Infinitive for purpose","join","improve","improves","to improve","improving","infinitive_purpose","round2","past","school"
"They go shopping every Saturday morning.","go_gerund","Go + gerund","go","shop","shops","shopping","to shop","go_gerund","round1","present","hobbies"
"We went fishing at the lake last weekend.","go_gerund","Go + gerund","go","fish","fishes","fishing","to fish","go_gerund","round1","past","hobbies"
"She is going camping with her cousins next month.","go_gerund","Go + gerund","go","camp","camps","camping","to camp","go_gerund","round1","future","relationships"
"I want to go swimming after work.","go_gerund","Go + gerund","go","swim","swims","swimming","to swim","go_gerund","round1","present","work"
"They went shopping in New Hampshire in October.","go_gerund","Go + gerund","go","shop","shops","shopping","to shop","go_gerund","round1","past","hobbies"
"We usually go walking before breakfast.","go_gerund","Go + gerund","go","walk","walks","walking","to walk","go_gerund","round1","present","hobbies"
"He goes shopping with his coworkers once a month.","go_gerund","Go + gerund","go","shop","shops","shopping","to shop","go_gerund","round2","present","work"
"She went shopping during winter break.","go_gerund","Go + gerund","go","shop","shops","shopping","to shop","go_gerund","round2","past","hobbies"
"We are going shopping when our friends visit.","go_gerund","Go + gerund","go","shop","shops","shopping","to shop","go_gerund","round2","future","relationships"
"They go running along the beach in summer.","go_gerund","Go + gerund","go","run","runs","running","to run","go_gerund","round2","present","hobbies"
"I went dancing with my friends on Friday.","go_gerund","Go + gerund","go","dance","dances","dancing","to dance","go_gerund","round2","past","relationships"
"He is going shopping for a winter coat tomorrow.","go_gerund","Go + gerund","go","shop","shops","shopping","to shop","go_gerund","round2","future","home"
"I enjoy listening to music on the bus.","gerund_after_verb","Gerund after verb","enjoy","listen","listens","listening","to listen","gerunds_intro","round1","present","transportation"
"She avoided answering the question during the meeting.","gerund_after_verb","Gerund after verb","avoid","answer","answers","answering","to answer","gerunds_intro","round1","present","work"
"They finished studying before the test started.","gerund_after_verb","Gerund after verb","finish","study","studies","studying","to study","gerunds_intro","round1","present","school"
"He kept checking his phone for messages.","gerund_after_verb","Gerund after verb","keep","check","checks","checking","to check","gerunds_intro","round1","present","daily_life"
"We discussed changing the class schedule.","gerund_after_verb","Gerund after verb","discuss","change","changes","changing","to change","gerunds_intro","round2","present","school"
"I miss visiting my hometown.","gerund_after_verb","Gerund after verb","miss","visit","visits","visiting","to visit","gerunds_intro","round2","present","relationships"
"She suggested ordering food after class.","gerund_after_verb","Gerund after verb","suggest","order","orders","ordering","to order","gerunds_intro","round2","present","school"
"They considered buying a used car.","gerund_after_verb","Gerund after verb","consider","buy","buys","buying","to buy","gerunds_intro","round2","present","money"
"He decided to start exercising again.","infinitive_after_verb","Infinitive after verb","decide","start","starts","to start","starting","infinitives_intro","round1","present","health"
"She hopes to travel to another country someday.","infinitive_after_verb","Infinitive after verb","hope","travel","travels","to travel","traveling","infinitives_intro","round1","future","transportation"
"They plan to take English classes this year.","infinitive_after_verb","Infinitive after verb","plan","take","takes","to take","taking","infinitives_intro","round1","present","school"
"I want to improve my pronunciation.","infinitive_after_verb","Infinitive after verb","want","improve","improves","to improve","improving","infinitives_intro","round1","present","school"
"He promised to help his friend move.","infinitive_after_verb","Infinitive after verb","promise","help","helps","to help","helping","infinitives_intro","round2","present","relationships"
"We hope to find a bigger apartment soon.","infinitive_after_verb","Infinitive after verb","hope","find","finds","to find","finding","infinitives_intro","round2","present","home"
"She decided to change her work schedule.","infinitive_after_verb","Infinitive after verb","decide","change","changes","to change","changing","infinitives_intro","round2","present","work"
"They agreed to share the cost of the trip.","infinitive_after_verb","Infinitive after verb","agree","share","shares","to share","sharing","infinitives_intro","round2","present","money"
"Studying a little every day improves your English.","gerund_subject","Gerund as subject","study","study","studies","Studying","To study","gerund_subject","round1","present","school"
"Cooking dinner at home saves money.","gerund_subject","Gerund as subject","cook","cook","cooks","Cooking","To cook","gerund_subject","round1","present","home"
"Drinking enough water helps your body.","gerund_subject","Gerund as subject","drink","drink","drinks","Drinking","To drink","gerund_subject","round1","present","health"
"Learning new words takes practice.","gerund_subject","Gerund as subject","learn","learn","learns","Learning","To learn","gerund_subject","round1","present","school"
"Saving money each month reduces stress.","gerund_subject","Gerund as subject","save","save","saves","Saving","To save","gerund_subject","round2","present","money"
"Talking with classmates builds confidence.","gerund_subject","Gerund as subject","talk","talk","talks","Talking","To talk","gerund_subject","round2","present","school"
"Practicing pronunciation every week helps a lot.","gerund_subject","Gerund as subject","practice","practice","practices","Practicing","To practice","gerund_subject","round2","present","school"
"I went to the pharmacy to buy medicine.","infinitive_purpose","Infinitive for purpose","go","buy","buys","to buy","buying","infinitive_purpose","round1","past","health"
"She stayed after class to ask a question.","infinitive_purpose","Infinitive for purpose","stay","ask","asks","to ask","asking","infinitive_purpose","round1","past","school"
"They woke up early to catch the train.","infinitive_purpose","Infinitive for purpose","wake","catch","catches","to catch","catching","infinitive_purpose","round1","past","transportation"
"He checked his email to see the update.","infinitive_purpose","Infinitive for purpose","check","see","sees","to see","seeing","infinitive_purpose","round1","past","work"
"We met after work to talk about the project.","infinitive_purpose","Infinitive for purpose","meet","talk","talks","to talk","talking","infinitive_purpose","round2","past","work"
"She saved money to pay for school.","infinitive_purpose","Infinitive for purpose","save","pay","pays","to pay","paying","infinitive_purpose","round2","past","money"
"They called the office to confirm the appointment.","infinitive_purpose","Infinitive for purpose","call","confirm","confirms","to confirm","confirming","infinitive_purpose","round2","past","work"
"We go running in the park after work.","go_gerund","Go + gerund","go","run","runs","running","to run","go_gerund","round1","present","work"
"They went shopping for groceries yesterday.","go_gerund","Go + gerund","go","shop","shops","shopping","to shop","go_gerund","round1","past","home"
"She goes walking every evening.","go_gerund","Go + gerund","go","walk","walks","walking","to walk","go_gerund","round1","present","hobbies"
"He went walking with his friends on Sunday.","go_gerund","Go + gerund","go","walk","walks","walking","to walk","go_gerund","round1","past","relationships"
"We went dancing at a friend's birthday party.","go_gerund","Go + gerund","go","dance","dances","dancing","to dance","go_gerund","round2","past","relationships"
"They go walking in the park during summer.","go_gerund","Go + gerund","go","walk","walks","walking","to walk","go_gerund","round2","present","hobbies"
"She went walking along the river yesterday.","go_gerund","Go + gerund","go","walk","walks","walking","to walk","go_gerund","round2","past","hobbies"
"She thought about calling him later.","preposition_gerund","Preposition + Gerund","think_about","call","calls","calling","to call","preposition_gerund","round1","past","relationships"
"I'm interested in learning more about the program.","preposition_gerund","Preposition + Gerund","interested_in","learn","learns","learning","to learn","preposition_gerund","round1","present","school"
"They talked about moving to a bigger apartment.","preposition_gerund","Preposition + Gerund","talk_about","move","moves","moving","to move","preposition_gerund","round1","past","home"
"He left without saying goodbye.","preposition_gerund","Preposition + Gerund","without","say","says","saying","to say","preposition_gerund","round1","past","relationships"
"We are worried about losing important documents.","preposition_gerund","Preposition + Gerund","worried_about","lose","loses","losing","to lose","preposition_gerund","round2","present","daily_life"
"She apologized for arriving late to class.","preposition_gerund","Preposition + Gerund","apologize_for","arrive","arrives","arriving","to arrive","preposition_gerund","round2","past","school"
"I’m excited about starting my new job.","preposition_gerund","Preposition + Gerund","excited_about","start","starts","starting","to start","preposition_gerund","round2","present","work"
"He left after finishing the report.","preposition_gerund","Preposition + Gerund","after","finish","finishes","finishing","to finish","preposition_gerund","round2","past","work"
"It’s nice to meet you.","adjective_infinitive","Adjective + Infinitive","nice","meet","meets","meeting","to meet","adjective_infinitive","round1","present","relationships"
"She is happy to help her classmates.","adjective_infinitive","Adjective + Infinitive","happy","help","helps","to help","helping","adjective_infinitive","round1","present","school"
"He was surprised to see so many people there.","adjective_infinitive","Adjective + Infinitive","surprised","see","sees","to see","seeing","adjective_infinitive","round1","past","social"
"We are ready to begin the lesson.","adjective_infinitive","Adjective + Infinitive","ready","begin","begins","to begin","beginning","adjective_infinitive","round1","present","school"
"I’m proud to finish this project.","adjective_infinitive","Adjective + Infinitive","proud","finish","finishes","to finish","finishing","adjective_infinitive","round2","present","work"
"They were eager to hear the good news.","adjective_infinitive","Adjective + Infinitive","eager","hear","hears","to hear","hearing","adjective_infinitive","round2","past","relationships"
"She is careful to check her answers.","adjective_infinitive","Adjective + Infinitive","careful","check","checks","to check","checking","adjective_infinitive","round2","present","school"
"He was relieved to catch the last train.","adjective_infinitive","Adjective + Infinitive","relieved","catch","catches","to catch","catching","adjective_infinitive","round2","past","transportation"
"You asked me to call you.","noun_infinitive","Noun + Infinitive","ask","call","calls","to call","calling","noun_infinitive","round1","past","relationships"
"The teacher told us to open our books.","noun_infinitive","Noun + Infinitive","tell","open","opens","to open","opening","noun_infinitive","round1","past","school"
"She reminded him to bring his ID.","noun_infinitive","Noun + Infinitive","remind","bring","brings","to bring","bringing","noun_infinitive","round1","past","daily_life"
"My boss asked me to send the email today.","noun_infinitive","Noun + Infinitive","ask","send","sends","to send","sending","noun_infinitive","round1","present","work"
"They invited us to join them for dinner.","noun_infinitive","Noun + Infinitive","invite","join","joins","to join","joining","noun_infinitive","round2","past","social"
"The doctor advised her to drink more water.","noun_infinitive","Noun + Infinitive","advise","drink","drinks","to drink","drinking","noun_infinitive","round2","past","health"
"I encouraged my friend to apply for the job.","noun_infinitive","Noun + Infinitive","encourage","apply","applies","to apply","applying","noun_infinitive","round2","past","work"
"The officer told them to wait outside.","noun_infinitive","Noun + Infinitive","tell","wait","waits","to wait","waiting","noun_infinitive","round2","past","daily_life"
"She enjoys reading stories with her children.","gerund_after_verb","Gerund after verb","enjoy","read","reads","reading","to read","gerunds_intro","round1","present","home"
"He finished writing his email.","gerund_after_verb","Gerund after verb","finish","write","writes","writing","to write","gerunds_intro","round1","past","work"
"We practice writing sentences in class.","gerund_after_verb","Gerund after verb","practice","write","writes","writing","to write","gerunds_intro","round1","present","school"
"I avoid eating too much sugar.","gerund_after_verb","Gerund after verb","avoid","eat","eats","eating","to eat","gerunds_intro","round1","present","health"
"She suggested watching a movie tonight.","gerund_after_verb","Gerund after verb","suggest","watch","watches","watching","to watch","gerunds_intro","round1","present","hobbies"
"He keeps trying to speak English every day.","gerund_after_verb","Gerund after verb","keep","try","tries","trying","to try","gerunds_intro","round1","present","school"
"They miss eating food from their country.","gerund_after_verb","Gerund after verb","miss","eat","eats","eating","to eat","gerunds_intro","round2","present","daily_life"
"She quit drinking coffee in the afternoon.","gerund_after_verb","Gerund after verb","quit","drink","drinks","drinking","to drink","gerunds_intro","round2","past","health"
"We discussed going to the doctor.","gerund_after_verb","Gerund after verb","discuss","go","goes","going","to go","gerunds_intro","round2","past","health"
"I want to speak English better.","infinitive_after_verb","Infinitive after verb","want","speak","speaks","to speak","speaking","infinitives_intro","round1","present","school"
"She needs to buy groceries today.","infinitive_after_verb","Infinitive after verb","need","buy","buys","to buy","buying","infinitives_intro","round1","present","home"
"They hope to pass the test next week.","infinitive_after_verb","Infinitive after verb","hope","pass","passes","to pass","passing","infinitives_intro","round1","present","school"
"He decided to take the bus to work.","infinitive_after_verb","Infinitive after verb","decide","take","takes","to take","taking","infinitives_intro","round1","past","transportation"
"We agreed to speak only English in class.","infinitive_after_verb","Infinitive after verb","agree","speak","speaks","to speak","speaking","infinitives_intro","round1","past","school"
"She promised to come to the party.","infinitive_after_verb","Infinitive after verb","promise","come","comes","to come","coming","infinitives_intro","round2","past","social"
"He learned to read English when he was young.","infinitive_after_verb","Infinitive after verb","learn","read","reads","to read","reading","infinitives_intro","round2","past","school"
"They offered to show us the way.","infinitive_after_verb","Infinitive after verb","offer","show","shows","to show","showing","infinitives_intro","round2","past","daily_life"
"She expects to graduate next year.","infinitive_after_verb","Infinitive after verb","expect","graduate","graduates","to graduate","graduating","infinitives_intro","round2","future","school"
"Listening to the teacher helps me understand.","gerund_subject","Gerund as subject","listen","listen","listens","Listening","To listen","gerund_subject","round1","present","school"
"Writing in a journal helps you practice.","gerund_subject","Gerund as subject","write","write","writes","Writing","To write","gerund_subject","round1","present","school"
"Eating breakfast gives you energy.","gerund_subject","Gerund as subject","eat","eat","eats","Eating","To eat","gerund_subject","round1","present","health"
"Speaking slowly helps people understand you.","gerund_subject","Gerund as subject","speak","speak","speaks","Speaking","To speak","gerund_subject","round2","present","school"
"Working from home saves time.","gerund_subject","Gerund as subject","work","work","works","Working","To work","gerund_subject","round2","present","work"
"She went to class to learn English.","infinitive_purpose","Infinitive for purpose","go","learn","learns","to learn","learning","infinitive_purpose","round1","past","school"
"He came to the office to talk to the manager.","infinitive_purpose","Infinitive for purpose","come","talk","talks","to talk","talking","infinitive_purpose","round1","past","work"
"I use a dictionary to look up new words.","infinitive_purpose","Infinitive for purpose","use","look","looks","to look","looking","infinitive_purpose","round1","present","school"
"They went to the bank to get cash.","infinitive_purpose","Infinitive for purpose","go","get","gets","to get","getting","infinitive_purpose","round1","past","money"
"She left early to avoid the traffic.","infinitive_purpose","Infinitive for purpose","leave","avoid","avoids","to avoid","avoiding","infinitive_purpose","round2","past","transportation"
"He wrote a list to remember what to buy.","infinitive_purpose","Infinitive for purpose","write","remember","remembers","to remember","remembering","infinitive_purpose","round2","past","home"
"We go swimming at the pool on weekends.","go_gerund","Go + gerund","go","swim","swims","swimming","to swim","go_gerund","round1","present","hobbies"
"He went walking with his kids last weekend.","go_gerund","Go + gerund","go","walk","walks","walking","to walk","go_gerund","round1","past","relationships"
"She is going shopping at the mall tomorrow.","go_gerund","Go + gerund","go","shop","shops","shopping","to shop","go_gerund","round1","future","hobbies"
"They go walking every evening.","go_gerund","Go + gerund","go","walk","walks","walking","to walk","go_gerund","round2","present","hobbies"
"She is thinking about taking a new course.","preposition_gerund","Preposition + Gerund","think_about","take","takes","taking","to take","preposition_gerund","round1","present","school"
"He is good at speaking in front of people.","preposition_gerund","Preposition + Gerund","good_at","speak","speaks","speaking","to speak","preposition_gerund","round1","present","work"
"They thanked us for helping them.","preposition_gerund","Preposition + Gerund","thank_for","help","helps","helping","to help","preposition_gerund","round1","past","daily_life"
"She is afraid of making mistakes.","preposition_gerund","Preposition + Gerund","afraid_of","make","makes","making","to make","preposition_gerund","round2","present","school"
"He is tired of waiting for the bus.","preposition_gerund","Preposition + Gerund","tired_of","wait","waits","waiting","to wait","preposition_gerund","round2","present","transportation"
"We are responsible for sending the forms.","preposition_gerund","Preposition + Gerund","responsible_for","send","sends","sending","to send","preposition_gerund","round2","present","work"
"It's important to practice every day.","adjective_infinitive","Adjective + Infinitive","important","practice","practices","to practice","practicing","adjective_infinitive","round1","present","school"
"She was glad to see her family.","adjective_infinitive","Adjective + Infinitive","glad","see","sees","to see","seeing","adjective_infinitive","round1","past","relationships"
"He is afraid to speak in class.","adjective_infinitive","Adjective + Infinitive","afraid","speak","speaks","to speak","speaking","adjective_infinitive","round1","present","school"
"We were sorry to hear the news.","adjective_infinitive","Adjective + Infinitive","sorry","hear","hears","to hear","hearing","adjective_infinitive","round2","past","relationships"
"She is willing to work on weekends.","adjective_infinitive","Adjective + Infinitive","willing","work","works","to work","working","adjective_infinitive","round2","present","work"
"It's easy to forget new words.","adjective_infinitive","Adjective + Infinitive","easy","forget","forgets","to forget","forgetting","adjective_infinitive","round2","present","school"
"My teacher asked me to read the paragraph.","noun_infinitive","Noun + Infinitive","ask","read","reads","to read","reading","noun_infinitive","round1","past","school"
"She wants me to call her tonight.","noun_infinitive","Noun + Infinitive","want","call","calls","to call","calling","noun_infinitive","round1","present","relationships"
"The sign told us to turn left.","noun_infinitive","Noun + Infinitive","tell","turn","turns","to turn","turning","noun_infinitive","round1","past","transportation"
"He needs me to help him with the homework.","noun_infinitive","Noun + Infinitive","need","help","helps","to help","helping","noun_infinitive","round2","present","school"
"The nurse reminded her to take the medicine.","noun_infinitive","Noun + Infinitive","remind","take","takes","to take","taking","noun_infinitive","round2","past","health"
"The doctor advised him to rest for a few days.","noun_infinitive","Noun + Infinitive","advise","rest","rests","to rest","resting","noun_infinitive","round1","past","health"
"The manager asked her to attend the meeting.","noun_infinitive","Noun + Infinitive","ask","attend","attends","to attend","attending","noun_infinitive","round1","past","work"
"My mom reminded me to turn off the lights.","noun_infinitive","Noun + Infinitive","remind","turn","turns","to turn","turning","noun_infinitive","round1","past","home"
"The teacher told the class to hand in the homework.","noun_infinitive","Noun + Infinitive","tell","hand","hands","to hand","handing","noun_infinitive","round1","past","school"
"They invited me to try the new restaurant.","noun_infinitive","Noun + Infinitive","invite","try","tries","to try","trying","noun_infinitive","round1","past","social"
"The landlord asked us to pay the rent by Friday.","noun_infinitive","Noun + Infinitive","ask","pay","pays","to pay","paying","noun_infinitive","round2","present","home"
"She warned him not to be late for the interview.","noun_infinitive","Noun + Infinitive","warn","be","is","to be","being","noun_infinitive","round2","past","work"
"The coach encouraged the team to practice more.","noun_infinitive","Noun + Infinitive","encourage","practice","practices","to practice","practicing","noun_infinitive","round2","past","daily_life"
"My friend taught me to use the bus app.","noun_infinitive","Noun + Infinitive","teach","use","uses","to use","using","noun_infinitive","round2","past","transportation"
"The form requires you to sign at the bottom.","noun_infinitive","Noun + Infinitive","require","sign","signs","to sign","signing","noun_infinitive","round2","present","work"
"The librarian told the students to be quiet.","noun_infinitive","Noun + Infinitive","tell","be","is","to be","being","noun_infinitive","round2","past","school"
"She allowed her son to stay home from school.","noun_infinitive","Noun + Infinitive","allow","stay","stays","to stay","staying","noun_infinitive","round2","past","school"
"The boss expects us to finish the report today.","noun_infinitive","Noun + Infinitive","expect","finish","finishes","to finish","finishing","noun_infinitive","round2","present","work"
"It's nice to see you again.","adjective_infinitive","Adjective + Infinitive","nice","see","sees","to see","seeing","adjective_infinitive","round1","present","relationships"
"It's hard to understand the accent at first.","adjective_infinitive","Adjective + Infinitive","hard","understand","understands","to understand","understanding","adjective_infinitive","round1","present","school"
"We were pleased to hear that you passed the test.","adjective_infinitive","Adjective + Infinitive","pleased","hear","hears","to hear","hearing","adjective_infinitive","round1","past","school"
"He is ready to start the exercise.","adjective_infinitive","Adjective + Infinitive","ready","start","starts","to start","starting","adjective_infinitive","round1","present","school"
"It's necessary to bring your ID to the office.","adjective_infinitive","Adjective + Infinitive","necessary","bring","brings","to bring","bringing","adjective_infinitive","round2","present","work"
"She was disappointed to miss the class.","adjective_infinitive","Adjective + Infinitive","disappointed","miss","misses","to miss","missing","adjective_infinitive","round2","past","school"
"It's difficult to find parking in the city.","adjective_infinitive","Adjective + Infinitive","difficult","find","finds","to find","finding","adjective_infinitive","round2","present","transportation"
"They were lucky to get seats on the bus.","adjective_infinitive","Adjective + Infinitive","lucky","get","gets","to get","getting","adjective_infinitive","round2","past","transportation"
"It's wrong to leave without saying goodbye.","adjective_infinitive","Adjective + Infinitive","wrong","leave","leaves","to leave","leaving","adjective_infinitive","round2","present","relationships"
